"Date","Amount","Charge","Utr","Status"
"07 May 2024 15:09:24","2000","10","412882782040","TRANSACTION_CREDIT"
"07 May 2024 15:08:30","2000","10","412871998168","TRANSACTION_CREDIT"
"07 May 2024 15:07:28","2000","10","412875419804","TRANSACTION_CREDIT"
"07 May 2024 15:06:46","900","4.5","449493625985","TRANSACTION_CREDIT"
"07 May 2024 15:06:35","600","3","412821883628","TRANSACTION_CREDIT"
"07 May 2024 15:06:09","2000","10","412822008819","TRANSACTION_CREDIT"
"07 May 2024 15:05:46","1000","5","412871634521","TRANSACTION_CREDIT"
"07 May 2024 15:05:09","500","2.5","412814684872","TRANSACTION_CREDIT"
"07 May 2024 15:05:03","600","3","412872322777","TRANSACTION_CREDIT"
"07 May 2024 15:04:58","1600","8","412877298433","TRANSACTION_CREDIT"
"07 May 2024 15:00:56","500","2.5","412807630410","TRANSACTION_CREDIT"
"07 May 2024 14:59:21","2000","10","412860424969","TRANSACTION_CREDIT"
"07 May 2024 14:59:00","1000","5","412841434473","TRANSACTION_CREDIT"
"07 May 2024 14:58:55","1000","5","412812711923","TRANSACTION_CREDIT"
"07 May 2024 14:58:44","500","2.5","412808208465","TRANSACTION_CREDIT"
"07 May 2024 14:55:17","800","4","412841239734","TRANSACTION_CREDIT"
"07 May 2024 14:54:09","2000","10","412859296627","TRANSACTION_CREDIT"
"07 May 2024 14:52:15","1000","5","412815297897","TRANSACTION_CREDIT"
"07 May 2024 14:52:02","10000","50","412841127568","TRANSACTION_CREDIT"
"07 May 2024 14:50:19","2500","12.5","412866711910","TRANSACTION_CREDIT"
"07 May 2024 14:48:33","1000","5","412812013239","TRANSACTION_CREDIT"
"07 May 2024 14:48:06","1000","5","412897131719","TRANSACTION_CREDIT"
"07 May 2024 14:47:19","1000","5","412804551869","TRANSACTION_CREDIT"
"07 May 2024 14:47:11","1500","7.5","412888874050","TRANSACTION_CREDIT"
"07 May 2024 14:47:04","500","2.5","412845127502","TRANSACTION_CREDIT"
"07 May 2024 14:46:54","2000","10","412813255677","TRANSACTION_CREDIT"
"07 May 2024 14:45:53","1001","5","412894186296","TRANSACTION_CREDIT"
"07 May 2024 14:45:41","2000","10","412845991415","TRANSACTION_CREDIT"
"07 May 2024 14:44:56","1000","5","412843771111","TRANSACTION_CREDIT"
"07 May 2024 14:43:59","1500","7.5","412888428536","TRANSACTION_CREDIT"
"07 May 2024 14:43:10","500","2.5","412803820285","TRANSACTION_CREDIT"
"07 May 2024 14:41:01","1500","7.5","412854981823","TRANSACTION_CREDIT"
"07 May 2024 14:40:03","2000","10","412889949872","TRANSACTION_CREDIT"
"07 May 2024 14:39:49","500","2.5","412886014016","TRANSACTION_CREDIT"
"07 May 2024 14:38:44","3000","15","412823485158","TRANSACTION_CREDIT"
"07 May 2024 14:37:35","500","2.5","412841985147","TRANSACTION_CREDIT"
"07 May 2024 14:34:51","1000","5","412833175656","TRANSACTION_CREDIT"
"07 May 2024 14:34:24","500","2.5","412812250750","TRANSACTION_CREDIT"
"07 May 2024 14:30:56","1500","7.5","412870458278","TRANSACTION_CREDIT"
"07 May 2024 14:30:48","2000","10","412835406322","TRANSACTION_CREDIT"
"07 May 2024 14:29:31","600","3","412822496851","TRANSACTION_CREDIT"
"07 May 2024 14:29:14","1500","7.5","412825929730","TRANSACTION_CREDIT"
"07 May 2024 14:29:00","1500","7.5","412820170089","TRANSACTION_CREDIT"
"07 May 2024 14:28:34","700","3.5","412888112868","TRANSACTION_CREDIT"
"07 May 2024 14:28:08","2000","10","412814510486","TRANSACTION_CREDIT"
"07 May 2024 14:27:52","728","3.64","412882475085","TRANSACTION_CREDIT"
"07 May 2024 14:27:41","2500","12.5","412889146124","TRANSACTION_CREDIT"
"07 May 2024 14:27:39","1000","5","412808379051","TRANSACTION_CREDIT"
"07 May 2024 14:27:21","4000","20","412823102224","TRANSACTION_CREDIT"
"07 May 2024 14:26:39","500","2.5","412850405533","TRANSACTION_CREDIT"
"07 May 2024 14:24:59","2000","10","412881378101","TRANSACTION_CREDIT"
"07 May 2024 14:24:44","800","4","412875888503","TRANSACTION_CREDIT"
"07 May 2024 14:24:21","500","2.5","412840320197","TRANSACTION_CREDIT"
"07 May 2024 14:22:40","1000","5","412830412349","TRANSACTION_CREDIT"
"07 May 2024 14:22:14","500","2.5","412819226132","TRANSACTION_CREDIT"
"07 May 2024 14:22:04","2000","10","412880943446","TRANSACTION_CREDIT"
"07 May 2024 14:21:35","1000","5","412896500722","TRANSACTION_CREDIT"
"07 May 2024 14:20:27","2500","12.5","412813444259","TRANSACTION_CREDIT"
"07 May 2024 14:18:52","5000","25","412839607927","TRANSACTION_CREDIT"
"07 May 2024 14:18:34","4000","20","412889618219","TRANSACTION_CREDIT"
"07 May 2024 14:17:37","500","2.5","412823624011","TRANSACTION_CREDIT"
"07 May 2024 14:16:44","1500","7.5","412814502010","TRANSACTION_CREDIT"
"07 May 2024 14:16:34","500","2.5","412840006130","TRANSACTION_CREDIT"
"07 May 2024 14:14:17","1000","5","412851413639","TRANSACTION_CREDIT"
"07 May 2024 14:13:42","500","2.5","412823923895","TRANSACTION_CREDIT"
"07 May 2024 14:11:27","1100","5.5","412866100702","TRANSACTION_CREDIT"
"07 May 2024 14:10:59","2500","12.5","412879767636","TRANSACTION_CREDIT"
"07 May 2024 14:09:55","1500","7.5","412805359564","TRANSACTION_CREDIT"
"07 May 2024 14:09:15","1380","6.9","412853999491","TRANSACTION_CREDIT"
"07 May 2024 14:06:29","1000","5","412839016859","TRANSACTION_CREDIT"
"07 May 2024 14:05:15","2000","10","412853542276","TRANSACTION_CREDIT"
"07 May 2024 14:00:15","10000","50","412803624466","TRANSACTION_CREDIT"
"07 May 2024 13:58:03","700","3.5","412848735491","TRANSACTION_CREDIT"
"07 May 2024 13:53:46","6000","30","412812194850","TRANSACTION_CREDIT"
"07 May 2024 13:51:29","5000","25","412836083010","TRANSACTION_CREDIT"
"07 May 2024 13:51:28","500","2.5","449436224561","TRANSACTION_CREDIT"
"07 May 2024 13:49:16","3400","17","412874734864","TRANSACTION_CREDIT"
"07 May 2024 13:48:11","2000","10","412894441078","TRANSACTION_CREDIT"
"07 May 2024 13:45:56","2000","10","412828617627","TRANSACTION_CREDIT"
"07 May 2024 13:44:55","500","2.5","412897381404","TRANSACTION_CREDIT"
"07 May 2024 13:44:38","1700","8.5","449411576537","TRANSACTION_CREDIT"
"07 May 2024 13:43:11","1000","5","412837890659","TRANSACTION_CREDIT"
"07 May 2024 13:43:03","1050","5.25","412896995500","TRANSACTION_CREDIT"
"07 May 2024 13:41:51","794","3.97","412851977051","TRANSACTION_CREDIT"
"07 May 2024 13:41:32","1200","6","412818447444","TRANSACTION_CREDIT"
"07 May 2024 13:39:07","1000","5","412800681943","TRANSACTION_CREDIT"
"07 May 2024 13:39:02","10000","50","412865201379","TRANSACTION_CREDIT"
"07 May 2024 13:37:36","1398","6.99","412822517665","TRANSACTION_CREDIT"
"07 May 2024 13:37:02","500","2.5","412848070040","TRANSACTION_CREDIT"
"07 May 2024 13:36:09","2000","10","412887605372","TRANSACTION_CREDIT"
"07 May 2024 13:35:23","3000","15","412808042989","TRANSACTION_CREDIT"
"07 May 2024 13:34:14","750","3.75","412867711171","TRANSACTION_CREDIT"
"07 May 2024 13:33:29","500","2.5","412848045853","TRANSACTION_CREDIT"
"07 May 2024 13:33:15","500","2.5","412837351800","TRANSACTION_CREDIT"
"07 May 2024 13:33:00","600","3","412800180431","TRANSACTION_CREDIT"
"07 May 2024 13:32:05","2000","10","412877430105","TRANSACTION_CREDIT"
"07 May 2024 13:31:49","1500","7.5","412832493421","TRANSACTION_CREDIT"
"07 May 2024 13:29:26","1000","5","412897467289","TRANSACTION_CREDIT"
"07 May 2024 13:26:16","1000","5","412870960266","TRANSACTION_CREDIT"
"07 May 2024 13:23:45","3000","15","412827427751","TRANSACTION_CREDIT"
"07 May 2024 13:20:23","1000","5","412891861632","TRANSACTION_CREDIT"
"07 May 2024 13:19:11","10000","50","412883854771","TRANSACTION_CREDIT"
"07 May 2024 13:19:05","1000","5","412897912438","TRANSACTION_CREDIT"
"07 May 2024 13:18:30","500","2.5","412893525106","TRANSACTION_CREDIT"
"07 May 2024 13:13:48","500","2.5","412807834168","TRANSACTION_CREDIT"
"07 May 2024 13:08:39","2000","10","412870811001","TRANSACTION_CREDIT"
"07 May 2024 13:06:41","3500","17.5","412884187960","TRANSACTION_CREDIT"
"07 May 2024 13:06:15","1000","5","412835701278","TRANSACTION_CREDIT"
"07 May 2024 13:05:56","1100","5.5","412870814314","TRANSACTION_CREDIT"
"07 May 2024 13:03:39","5000","25","412838511287","TRANSACTION_CREDIT"
"07 May 2024 13:03:10","1000","5","412870835213","TRANSACTION_CREDIT"
"07 May 2024 13:01:44","1400","7","412874587357","TRANSACTION_CREDIT"
"07 May 2024 13:00:05","1500","7.5","412814338188","TRANSACTION_CREDIT"
"07 May 2024 12:57:30","1000","5","412886489593","TRANSACTION_CREDIT"
"07 May 2024 12:54:21","8000","40","412801495462","TRANSACTION_CREDIT"
"07 May 2024 12:48:52","2000","10","412835006002","TRANSACTION_CREDIT"
"07 May 2024 12:48:05","1800","9","412828902300","TRANSACTION_CREDIT"
"07 May 2024 12:45:45","5000","25","412828815751","TRANSACTION_CREDIT"
"07 May 2024 12:37:55","10000","50","412814508033","TRANSACTION_CREDIT"
